@id,@type,subClassOf,subClassOf,prefLabel,altLabel,assesses,definition
ssbd:FunctionalityAssessment,owl:Class,ssbd:SpecifiedAssessment,,FunctionalityAssessment,Functionality Assessment,ssbd:FunctionalityDimension,The superclass of all SSbD Assessments within the dimenstion functionality.
ssbd:MechanicalPropertiesAssessment,owl:Class,ssbd:FunctionalityAssessment,,MechanicalPropertiesAssessment,Mechanical Properties Assessment,,Assessment of mechanical properties of chemicals and materials.
ssbd:ThermalPropertiesAssessment,owl:Class,ssbd:FunctionalityAssessment,,ThermalPropertiesAssessment,Thermal Properties Assessment,,Assessment of thermal properties of chemicals and materials.
ssbd:PhysicalPropertiesAssessment,owl:Class,ssbd:FunctionalityAssessment,,PhysicalPropertiesAssessment,Physical Properties Assessment,,Assessment of physical properties of chemicals and materials.
ssbd:YoungsModulusAssessment,owl:Class,ssbd:MechanicalPropertiesAssessment,,YoungsModulusAssessment,Young's Modulus Assessment,,Assessment of Young's modulus of materials.
ssbd:BulkModulusAssessment,owl:Class,ssbd:MechanicalPropertiesAssessment,,BulkModulusAssessment,Bulk Modulus Assessment,,Assessment of bulk modulus of materials.
ssbd:PoissonsRatioAssessment,owl:Class,ssbd:MechanicalPropertiesAssessment,,PoissonsRatioAssessment,Poisson's Ratio Assessment,,Assessment of Poisson's ratio of materials.
ssbd:GlassTransitionTemperatureAssessment,owl:Class,ssbd:ThermalPropertiesAssessment,,GlassTransitionTemperatureAssessment,Glass Transition Temperature Assessment,,Assessment of glass transition temperature of materials.
ssbd:DensityAssessment,owl:Class,ssbd:PhysicalPropertiesAssessment,,DensityAssessment,Density Assessment,,Assessment of density of chemicals and materials.
ssbd:FunctionalityDimension,owl:Class,ssbd:SSbDDimension,,FunctionalityDimension,,,The dimension of functionality in the context of SSbD assessments.
ssbd:SafetyDimension,owl:Class,ssbd:SSbDDimension,,SafetyDimension,Safety Dimension,,The dimension of safety in the context of SSbD assessments.
ssbd:EnvironmentalDimension,owl:Class,ssbd:SSbDDimension,,EnvironmentalDimension,,,The dimension of environmental impact in the context of SSbD assessments.
ssbd:SocialDimension,owl:Class,ssbd:SSbDDimension,,SocialDimension,,,The dimension of social impact in the context of SSbD assessments.
ssbd:EconomicDimension,owl:Class,ssbd:SSbDDimension,,EconomicDimension,Economic Dimension,,The dimension of economic impact in the context of SSbD assessments.
